Player;Age
Casemiro;31
Raphaël Varane;30
Marcus Rashford;25
Mason Mount;24
Anthony Martial;27
Jadon Sancho;23
Bruno Fernandes;28
Antony;23
Harry Maguire;30
Luke Shaw;28
Christian Eriksen;31
Victor Lindelöf;29
Lisandro Martínez;25
André Onana;27
Aaron Wan-Bissaka;25
Donny van de Beek;26
Rasmus Højlund;20
Diogo Dalot;24
Tyrell Malacia;24
Jonny Evans;35
Sofyan Amrabat;26
Scott McTominay;26
Alejandro Garnacho;19
Tom Heaton;37
Altay Bayındır;25
Amad Diallo;21
Facundo Pellistri;21
Hannibal;20
Kobbie Mainoo;19
Shola Shoretire;
