,NAME,POS,AGE,HT,WT,NAT,APP,SUB,G,A,SH,ST,FC,FA,YC,RC,SV,GA
0,Aaron Wan-Bissaka,D,26,1.83 ,72 ,England,22,2,0,2,3,1,17,9,4,0,0,0
1,Alejandro Garnacho,F,19,1.8 ,73 ,Argentina,36,6,7,5,101,27,19,54,4,0,0,0
2,Altay Bayindir,G,26,1.98 ,87 ,Turkey,0,0,0,0,0,0,0,0,0,0,0,0
3,Amad ,F,21,1.73 ,72 ,Ivory Coast,9,6,1,1,10,4,5,4,1,0,0,0
4,André Onana,G,28,1.91 ,92 ,Cameroon,38,0,0,0,0,38,1,4,5,0,150,57
5,Anthony Martial,F,28,1.8 ,76 ,France,13,8,1,0,6,4,3,6,0,0,0,0
6,Antony ,F,24,1.75 ,63 ,Brazil,29,14,1,1,43,15,18,32,5,0,0,0
7,Bruno Fernandes,M,29,1.78 ,66 ,Portugal,35,0,10,8,95,36,41,28,9,0,0,0
8,Casemiro,M,32,1.85 ,83 ,Brazil,25,1,1,2,38,9,30,10,7,0,0,0
9,Christian Eriksen,M,32,1.83 ,76 ,Denmark,22,10,1,2,13,4,7,3,1,0,0,0
10,Dermot Mee,G,21,1.83 ,72 ,Northern Ireland,0,0,0,0,0,0,0,0,0,0,0,0
11,Diogo Dalot,D,25,1.83 ,78 ,Portugal,36,1,2,3,30,7,43,14,5,1,0,0
12,Ethan Wheatley,F,18,1.87,65 ,England,3,3,0,0,0,0,3,0,0,0,0,0
13,Habeeb Ogunneye,D,18,1.79,64 ,England,0,0,0,0,0,0,0,0,0,0,0,0
14,Harry Amass,D,17,1.81,72 ,England,0,0,0,0,0,0,0,0,0,0,0,0
15,Harry Maguire,D,31,1.93 ,88 ,England,22,4,2,2,20,3,20,11,4,0,0,0
16,Jonny Evans,D,36,1.88 ,77 ,Northern Ireland,23,8,0,1,1,0,17,13,2,0,0,0
17,Kobbie Mainoo,M,19,1.75 ,72 ,England,24,0,3,1,11,5,13,23,3,0,0,0
18,Lisandro Martínez,D,26,1.75 ,72 ,Argentina,11,3,0,1,1,1,6,3,3,0,0,0
19,Louis Jackson,D,18,1.75,65 ,Scotland,0,0,0,0,0,0,0,0,0,0,0,0
20,Luke Shaw,D,28,1.78 ,78 ,England,12,0,0,0,2,0,13,3,6,0,0,0
21,Marcus Rashford,F,26,1.8 ,68 ,England,33,7,7,2,61,20,13,21,2,0,0,0
22,Mason Mount,M,25,1.8 ,76 ,England,14,9,1,0,4,1,10,9,2,0,0,0
23,Omari Forson,M,19,1.79,67 ,England,4,3,0,1,1,0,1,0,0,0,0,0
24,Raphaël Varane,D,31,1.91 ,81 ,France,22,6,1,0,8,2,8,3,2,0,0,0
25,Rasmus Højlund,F,21,1.91 ,78 ,Denmark,30,5,10,2,36,19,19,30,2,0,0,0
26,Scott McTominay,M,27,1.93 ,87 ,Scotland,32,14,7,1,43,18,28,21,2,0,0,0
27,Shola Shoretire,F,20,1.7 ,68 ,England,0,0,0,0,0,0,0,0,0,0,0,0
28,Sofyan Amrabat,M,27,1.83 ,82 ,Morocco,21,11,0,0,3,0,23,10,6,0,0,0
29,Toby Collyer,M,20,1.8,65 ,England,0,0,0,0,0,0,0,0,0,0,0,0
30,Tom Heaton,G,38,1.88 ,83 ,England,0,0,0,0,0,0,0,0,0,0,0,0
31,Tyrell Malacia,D,24,1.7 ,67 ,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0
32,Victor Lindelöf,D,29,1.88 ,78 ,Sweden,19,5,1,1,6,4,15,2,2,0,0,0
33,Willy Kambwala,D,19,1.92,76 ,France,8,5,0,0,0,0,4,2,1,0,0,0
