Player;Weekly Wages;Annual Wages
Casemiro;£ 350,000 (€ 406,695, $433,595);£ 18,200,000 (€ 21,148,123, $22,546,954)
Raphaël Varane;£ 340,000 (€ 395,075, $421,207);£ 17,680,000 (€ 20,543,891, $21,902,755)
Marcus Rashford;£ 300,000 (€ 348,595, $371,653);£ 15,600,000 (€ 18,126,963, $19,325,960)
Mason Mount;£ 250,000 (€ 290,496, $309,711);£ 13,000,000 (€ 15,105,802, $16,104,967)
Anthony Martial;£ 250,000 (€ 290,496, $309,711);£ 13,000,000 (€ 15,105,802, $16,104,967)
Jadon Sancho;£ 250,000 (€ 290,496, $309,711);£ 13,000,000 (€ 15,105,802, $16,104,967)
Bruno Fernandes;£ 240,000 (€ 278,876, $297,322);£ 12,480,000 (€ 14,501,570, $15,460,768)
Antony;£ 200,000 (€ 232,397, $247,769);£ 10,400,000 (€ 12,084,642, $12,883,973)
Harry Maguire;£ 190,000 (€ 220,777, $235,380);£ 9,880,000 (€ 11,480,410, $12,239,775)
Luke Shaw;£ 150,000 (€ 174,298, $185,827);£ 7,800,000 (€ 9,063,481, $9,662,980)
Christian Eriksen;£ 150,000 (€ 174,298, $185,827);£ 7,800,000 (€ 9,063,481, $9,662,980)
Victor Lindelöf;£ 120,000 (€ 139,438, $148,661);£ 6,240,000 (€ 7,250,785, $7,730,384)
Lisandro Martínez;£ 120,000 (€ 139,438, $148,661);£ 6,240,000 (€ 7,250,785, $7,730,384)
André Onana;£ 120,000 (€ 139,438, $148,661);£ 6,240,000 (€ 7,250,785, $7,730,384)
Aaron Wan-Bissaka;£ 90,000 (€ 104,579, $111,496);£ 4,680,000 (€ 5,438,089, $5,797,788)
Donny van de Beek;£ 90,000 (€ 104,579, $111,496);£ 4,680,000 (€ 5,438,089, $5,797,788)
Rasmus Højlund;£ 85,000 (€ 98,769, $105,302);£ 4,420,000 (€ 5,135,973, $5,475,689)
Diogo Dalot;£ 85,000 (€ 98,769, $105,302);£ 4,420,000 (€ 5,135,973, $5,475,689)
Tyrell Malacia;£ 75,000 (€ 87,149, $92,913);£ 3,900,000 (€ 4,531,741, $4,831,490)
Jonny Evans;£ 65,000 (€ 75,529, $80,525);£ 3,380,000 (€ 3,927,509, $4,187,291)
Sofyan Amrabat;£ 65,000 (€ 75,529, $80,525);£ 3,380,000 (€ 3,927,509, $4,187,291)
Scott McTominay;£ 60,000 (€ 69,719, $74,331);£ 3,120,000 (€ 3,625,393, $3,865,192)
Alejandro Garnacho;£ 50,000 (€ 58,099, $61,942);£ 2,600,000 (€ 3,021,160, $3,220,993)
Tom Heaton;£ 45,000 (€ 52,289, $55,748);£ 2,340,000 (€ 2,719,044, $2,898,894)
Altay Bayındır;£ 35,000 (€ 40,669, $43,360);£ 1,820,000 (€ 2,114,812, $2,254,695)
Amad Diallo;£ 28,846 (€ 33,519, $35,736);£ 1,500,000 (€ 1,742,977, $1,858,265)
Facundo Pellistri;£ 20,000 (€ 23,240, $24,777);£ 1,040,000 (€ 1,208,464, $1,288,397)
Hannibal;£ 15,000 (€ 17,430, $18,583);£ 780,000 (€ 906,348, $966,298)
Kobbie Mainoo;£ 10,000 (€ 11,620, $12,388);£ 520,000 (€ 604,232, $644,199)
Shola Shoretire;;
